title,country,release_year,genre,description,Streaming Service
Hamilton,United States,2020,"Biographical, Historical, Musical",The filmed version of Broadway original “Hamilton” that soars in music and tale.,Disney
Ice Age: Collision Course,"United States, United Kingdom, Australia",2016,"Action-Adventure, Animation, Comedy","When their world is threatened, Manny and friends go on a quest to survive the Scrat-tastrophe!",Disney
Race to Witch Mountain,United States,2009,"Action-Adventure, Family, Science Fiction",A Las Vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.,Disney
The Big Green,United States,1995,"Comedy, Family, Sports",A group of bored misfits become local soccer heroes in a sleepy Texas town.,Disney
The Mighty Ducks,United States,1992,"Comedy, Drama, Sports",A hotshot lawyer reluctantly coaches a hapless pee wee hockey team.,Disney
While You Were Sleeping,United States,1995,"Comedy, Drama, Romance",A lonely subway worker is mistaken for a comatose man's finacée.,Disney
Man in Space,United States,1955,"Documentary, Family","From the TV series Disneyland, a look at the history of space travel. See details for advisory.",Disney
Mars and Beyond,United States,1957,"Animation, Documentary, Family",An animated look at humankind's early views of the universe and life on Mars.,Disney
Marvel Studios' Avengers: Infinity War,United States,2018,"Action-Adventure, Fantasy, Science Fiction",The Avengers must be willing to sacrifice all to defeat Thanos.,Disney
Tarzan,United States,1999,"Action-Adventure, Animation, Coming of Age","Adopted by gorillas, Tarzan’s life changes forever when he meets other humans.",Disney
Tarzan II,United States,2005,"Action-Adventure, Animation, Coming of Age",Young Tarzan decides his ape family would be better off without him.,Disney
Big Sur: Wild California,United States,2010,"Animals & Nature, Documentary, Family",Why is California's Big Sur coastline experiencing an explosion in wildlife?,Disney
Egypt's Treasure Guardians,United Kingdom,2016,"Documentary, Historical","This programme follows a select cast of individuals, determined to bring Egypt back from the brink.",Disney
The Jungle Book,"United Kingdom, United States",2016,"Action-Adventure, Coming of Age, Family",A man-cub who’s been raised by a family of wolves eludes a dangerous tiger.,Disney
The Pirate Fairy,United States,2014,"Action-Adventure, Animation, Family",Tinker Bell and friends face the pirates of Skull Rock to save a friend.,Disney
Trail Mix-Up,United States,1993,"Action-Adventure, Animation, Comedy",Roger Rabbit is left to care for Baby Herman in Yellowstone National Park.,Disney
Tummy Trouble,United States,1989,"Action-Adventure, Animation, Comedy",Roger Rabbit is left to babysit with the mischievous Baby Herman,Disney
Artemis Fowl,United States,2020,"Action-Adventure, Crime, Fantasy",A descendant of a long line of criminal masterminds seeks to find his father who has disappeared.,Disney
The Liberty Story,United States,1957,"Drama, Family, Historical",Walt Disney presents segments of America's fight for freedom. See details for advisory.,Disney
The Story of the Animated Drawing,United States,1955,"Documentary, Family",Walt Disney discusses the history of animation. See details for advisory.,Disney
Walt & El Grupo,United States,2009,"Documentary, Historical",The U.S. Government sends Walt Disney to South America on a goodwill tour.,Disney
America's Greatest Animals,United States,2012,"Animals & Nature, Documentary, Family",Nat Geo WILD goes on a search for America's 'big five.' Can America compete with Africa's beasts?,Disney
Percy Jackson & The Olympians: The Lightning Thief,"United Kingdom, Canada, United States",2010,"Action-Adventure, Family, Fantasy",A boy discovers he's the descendant of Poseidon and must settle an on-going battle between the gods.,Disney
Women Of Impact: Changing The World,United States,2019,"Documentary, Historical",How will you make the world a better place? Hear stories of the amazing women changing our world.,Disney
"Maggie Simpson in ""The Longest Daycare""",United States,2012,"Animation, Comedy","In this Oscar-nominated short from The Simpsons, Maggie navigates an eventful first day at daycare.",Disney
Mickey and the Seal,United States,1948,"Animation, Family",Mickey and Pluto get into trouble with a mischievous seal.,Disney
The Moon-Spinners,United States,1964,"Crime, Drama, Mystery",A teen finds romance and searches for stolen gems during her vacation.,Disney
Fantastic Mr. Fox,"United States, United Kingdom",2009,"Animation, Comedy, Crime",Mr. Fox lives a happy life until he plots the greatest chicken heist the world has ever seen.,Disney
"Hello, Dolly!",United States,1969,"Comedy, Musical, Romance",Matchmaker Dolly Levi orchestrates the love lives of her friends while trying to figure out her own.,Disney
Out,United States,2020,"Animation, Family, Fantasy","On an average day, Greg's life seems ordinary. But today is different - there’s magic in the air.",Disney
The Boys: The Sherman Brothers' Story,United States,2009,"Biographical, Documentary, Music","A journey through the lives of the prolific, award-winning songwriting duo.",Disney
Maleficent: Mistress of Evil,"United States, United Kingdom, Canada",2019,"Action-Adventure, Family, Fantasy",The story of Disney's most iconic villain continues.,Disney
Star Wars: The Rise of Skywalker (Episode IX),United States,2019,"Action-Adventure, Family, Science Fiction",The landmark Skywalker saga comes to a conclusion.,Disney
John Carter,United States,2012,"Action-Adventure, Family, Fantasy",A former military captain is inexplicably transported to Barsoom (Mars).,Disney
Bride of Boogedy,United States,1987,"Action-Adventure, Family, Fantasy","Mr. Boogedy returns, and will not stop until he get his revenge.",Disney
George of the Jungle,United States,1997,"Action-Adventure, Comedy, Family","A baby raised by gorillas grows up to be a lovable, vine-swinging klutz.",Disney
Homeward Bound II: Lost in San Francisco,United States,1996,"Action-Adventure, Animals & Nature, Family",Three lost pets must navigate through San Francisco to find their way home.,Disney
Homeward Bound: The Incredible Journey,United States,1993,"Action-Adventure, Animals & Nature, Family",Two dogs and a cat embark on a great American journey to find their owners.,Disney
How to Play Baseball,United States,1942,"Animation, Family, Sports",Goofy teaches you all about this all-American pastime.,Disney
In Beaver Valley,United States,1950,"Animals & Nature, Documentary, Family",A young male beaver races to build his new family a home before winter. See details for advisory.,Disney
Nature's Half Acre,United States,1951,"Animals & Nature, Documentary, Family",The strange and wonderful world that lies beneath our feet. See details for advisory.,Disney
Prowlers of the Everglades,United States,1953,"Animals & Nature, Documentary","A primeval reptile stalks its prey in ""the swamp that time forgot."" See details for advisory.",Disney
The Princess Bride,"United Kingdom, United States",1987,"Action-Adventure, Comedy, Family",A man regales his ailing grandson with a tale of romance and adventure in a lighthearted fairy tale.,Disney
Water Birds,United States,1952,"Animals & Nature, Documentary, Family",Experience the beauty and variety of majestic water birds. See details for advisory.,Disney
National Treasure,United States,2004,"Action-Adventure, Mystery, Thriller",A treasure hunter must steal America's most sacred and guarded document.,Disney
Born Wild: The Next Generation,United States,2020,"Animals & Nature, Documentary",BORN WILD: THE NEXT GENERATION gives viewers a look at our planet’s next generation of baby animals.,Disney
The Olympic Elk,United States,1952,"Animals & Nature, Documentary, Family",Olympic elk trek toward the fertile grazing grounds of Mount Olympus. See details for advisory.,Disney
Jane Goodall: The Hope,United States,2020,"Biographical, Documentary",Jane Goodall continues her lifetime of activism by continuously spreading a message of hope.,Disney
Let's Stick Together,United States,1952,"Animation, Family","Spike, an old honey bee, recounts working with Donald in the good ol' days.",Disney
Pluto's Purchase,United States,1948,"Animation, Family",Pluto is in for a surprise when Mickey sends him to buy a salami. See details for advisory.,Disney
A Celebration of the Music from Coco,United States,2020,"Concert Film, Music, Musical",“Coco” is brought to life on stage with musical performances at the historic Hollywood Bowl.,Disney
"Maggie Simpson in ""Playdate with Destiny""",United States,2020,"Animation, Comedy",A heroic baby saves Maggie Simpson from playground peril – and steals her heart.,Disney
A Tale of Two Critters,United States,1977,"Animals & Nature, Family",A bear cub and a raccoon become fast friends. See details for advisory.,Disney
All in a Nutshell,United States,1949,"Animation, Family",Donald steals Chip and Dale's nuts and ends up in a lake. See details for advisory.,Disney
Disneynature Penguins,United States,2019,"Animals & Nature, Documentary, Family",Steve the penguin embarks on an epic quest to find love and start a family.,Disney
Diving with Dolphins,United States,2020,"Animals & Nature, Documentary, Family",Disneynature explores the making of Dolphin Reef. Céline Cousteau narrates English-language version.,Disney
Dolphin Reef,United States,2018,"Animals & Nature, Documentary, Family",A playful young dolphin named Echo must master his vital role in the coral reef community.,Disney
Don's Fountain of Youth,United States,1953,"Animation, Family",Donald's trick at the fountain of youth is cut short by an alligator. See details for advisory.,Disney
Donald's Dog Laundry,United States,1940,"Animation, Family",Donald entices Pluto to try his mechanical dog washer. See details for advisory.,Disney
Double Dribble,United States,1946,"Animation, Family, Sports",Goofy explores the wonderful world of basketball. See details for advisory.,Disney
Dragon Around,United States,1954,"Animation, Family",Chip and Dale defend their home against Donald's dragon-like steam shovel. See details for advisory.,Disney
Elephant,United States,2020,"Animals & Nature, Documentary, Family",African elephant Shani and her spirited son Jomo make the epic journey of their ancestors.,Disney
Elmer Elephant,United States,1936,"Animation, Family",An elephant is ashamed of his trunk until he saves his friend with it. See details for advisory.,Disney
How To Play Football,United States,1944,"Animation, Family, Parody",Goofy demonstrates the game of football. See details for advisory.,Disney
In the Footsteps of Elephant,United States,2020,"Animals & Nature, Documentary, Family",Filmmakers capture an epic journey through the Kalahari Desert for Disneynature’s “Elephant.”,Disney
"Lambert, The Sheepish Lion",United States,1952,"Animation, Family",A mix-up finds a little lion cub in the care of a gentle flock of sheep.,Disney
On Ice,United States,1935,"Animation, Comedy, Family",Mickey and friends enjoy skating on a frozen river. See details for advisory.,Disney
Onward,United States,2020,"Action-Adventure, Animation, Comedy",Two elf brothers embark on an extraordinary quest in Disney and Pixar’s ONWARD!,Disney
Out of Scale,United States,1951,"Animation, Family","Donald declares Chip n Dale's tree ""out of scale"" for his train set. See details for advisory.",Disney
Penguins: Life on the Edge,United States,2020,"Animals & Nature, Documentary, Family",A witty and tenacious team of filmmakers brave the Antarctic to film Disneynature’s “Penguins.”,Disney
Pluto's Party,United States,1952,"Animation, Family",It's Pluto's birthday party!,Disney
Sea Scouts,United States,1939,"Animation, Family",Donald and his nephews encounter a shark. See details for advisory.,Disney
The Boy Who Talked to Badgers,United States,1975,"Action-Adventure, Animals & Nature, Drama",A young farm boy relies on the help of a badger to survive the wilderness. See details for advisory.,Disney
The New Neighbor,United States,1953,"Animation, Family",Sparks fly when Donald moves next door to Pete and his reckless dog. See details for advisory.,Disney
The Small One,United States,1978,"Animation, Family, Historical",A young boy discovers the true spirit of the Christmas season. See details for advisory.,Disney
The Straight Story,"France, United Kingdom, United States",1999,"Biographical, Drama",Story of a man who takes a six week trip on his riding lawn mower.,Disney
Frankenweenie,United States,2012,"Animation, Comedy, Drama",Disney presents a comic twist on a classic tale from Tim Burton.,Disney
Mars Needs Moms,United States,2011,"Action-Adventure, Animation, Family",Nine-year-old Milo sets out to save his mom when she is abducted by Martians.,Disney
Prom,United States,2011,"Comedy, Coming of Age, Drama","At Prom, every couple has a story, and no two are exactly alike.",Disney
The Last Song,United States,2010,"Coming of Age, Drama, Music",A rebellious daughter and her estranged father try to restore the loving relationship they once had.,Disney
The Odd Life of Timothy Green,United States,2012,"Drama, Family, Fantasy",An unexpected surprise arrives on the doorstep of a couple who can't have children of their own.,Disney
A Wrinkle in Time,United States,2018,"Action-Adventure, Coming of Age, Family",Meg travels through time and space to find her father.,Disney
G-Force,United States,2009,"Action-Adventure, Comedy, Family",Four highly trained FBI guinea pigs set out to save the world.,Disney
Frozen 2,United States,2019,"Action-Adventure, Animation, Family",Elsa journeys into the unknown to uncover truths about the past.,Disney
Stargirl,United States,2020,"Coming of Age, Drama, Musical",A coming-of-age story about a high schooler who finds himself drawn to the free-spirited new girl.,Disney
The Finest Hours,United States,2016,"Action-Adventure, Disaster, Drama",Based on a true story of the Coast Guard’s most daring rescue.,Disney
The Sandlot: Heading Home,"United States, Canada",2007,"Comedy, Family, Sports","An egotistical baseball star wakes up as a 12-year-old on his childhood playing field, the sandlot.",Disney
Bedtime Stories,United States,2008,"Comedy, Family, Fantasy",A hotel handyman's bedtime stories go from fantasy to reality.,Disney
Marvel Studios' Black Panther,United States,2018,"Action-Adventure, Science Fiction, Superhero",T’Challa battles a powerful foe when his homeland of Wakanda is threatened.,Disney
Disney Phineas and Ferb: Phineas and Ferb Star Wars,United States,2014,"Action-Adventure, Animation, Musical","Phineas, Ferb and the gang meet some iconic Star Wars characters.",Disney
Viking Warrior Women,United Kingdom,2019,"Documentary, Historical",New discoveries challenge everything we thought we knew about Viking warriors.,Disney
Marvel Rising: Operation Shuri,United States,2019,"Action-Adventure, Animation, Coming of Age",The Secret Warriors show Shuri how to be a teenager.,Disney
Marvel Rising: Playing With Fire,United States,2019,"Action-Adventure, Animation, Coming of Age",The Secret Warriors help Inferno recover his powers.,Disney
Marvel's Iron Man & Hulk: Heroes United,United States,2013,"Action-Adventure, Animation, Science Fiction",Avengers Iron Man and Hulk team up to fight an energy-devouring monster.,Disney
Because of Winn-Dixie,United States,2005,"Comedy, Drama, Family","A heartwarming tale of a girl whose life is changed by a scruffy, fun-loving pooch named Winn-Dixie.",Disney
"My Dog, the Thief",United States,1969,"Action-Adventure, Comedy, Family",A St. Bernard lifts a million-dollar necklace from a team of jewel thieves.,Disney
Splash,United States,1984,"Comedy, Fantasy, Romance",Allen Bauer (Tom Hanks) is rescued at sea by the mermaid of his dreams.,Disney
Timmy Failure: Mistakes Were Made,United States,2020,"Buddy, Comedy, Drama",“Timmy Failure” follows the hilarious exploits of a boy who operates a Portland detective agency.,Disney
Toy Story 4,United States,2019,"Action-Adventure, Animation, Comedy",Pixar Animation Studios proudly presents the adventure of a lifetime!,Disney
Descendants 3,United States,2019,"Coming of Age, Fantasy, Musical",A barrier breach jeopardizes the safety of Auradon.,Disney
Around the World in 80 Days,"United States, Germany, Ireland, United Kingdom",2004,"Action-Adventure, Comedy, Family",Phileas Fogg tries to beat the clock in a race around the world.,Disney
Big Business,United States,1988,Comedy,"Two sets of identical twins, mismatched at birth, cross paths years later.",Disney
Lamp Life,United States,2020,"Animation, Comedy, Family",Lamp Life answers the question of what happened to Bo Peep since we last we saw her in Toy Story 2.,Disney
The Lion King,"United States, United Kingdom, South Africa",2019,"Action-Adventure, Coming of Age, Drama",Disney’s The Lion King comes to life in a whole new way.,Disney
Destino,"France, United States",2003,"Animation, Family, Romance",A collaboration begun in 1945 by Salvador Dalí and Walt Disney.,Disney
Forky Asks a Question: What is Reading?,United States,2020,"Animation, Comedy, Family","The energetic Peas-n-a-Pod siblings teach Forky about reading, with a little help from Mr. Spell.",Disney
Loop,United States,2020,"Animation, Family","Adrift on a lake, two kids with different ways of communicating attempt to connect.",Disney
Aladdin (2019),United States,2019,"Action-Adventure, Family, Fantasy",From Disney comes the thrilling live-action adaptation of Aladdin.,Disney
Forky Asks a Question: What is Cheese?,United States,2020,"Animation, Comedy, Family","Buttercup, annoyed with all of Forky’s questions, speed teaches everything there is.",Disney
Cars Toon: El Materdor,United States,2008,"Animation, Comedy, Family",Mater is a famous bulldozer fighter in Spain.,Disney
Cars Toon: Moon Mater,United States,2010,"Animation, Comedy, Family",Mater’s mission on the moon: rescue the Impala XIII.,Disney
Cars Toon: Rescue Squad Mater,United States,2010,"Animation, Comedy, Family",Mater is a fire truck that rescues McQueen from a fire,Disney
Cars Toon: Spinning,United States,2013,"Animation, Family",Guido discovers his talent as a sign spinner.,Disney
Cars Toon: Time Travel Mater,United States,2012,"Animation, Comedy, Family",Mater travels back in time to 1909.,Disney
Cars Toon: Tokyo Mater,United States,2008,"Animation, Comedy, Family","Mater is in Tokyo, where he is challenged to a race.",Disney
Cars Toon: Unidentified Flying Mater,United States,2010,"Animation, Comedy, Family",Mater and Lightning McQueen rescue a UFO named Mator.,Disney
Cars Toons: Bugged,United States,2013,"Animation, Family",Red's peaceful morning routine is interrupted by a pesky visitor.,Disney
Cool Runnings,United States,1993,"Biographical, Comedy, Family",Based on the true story of Jamaican bobsledders at the Winter Olympics.,Disney
Drain Alcatraz,United States,2017,Documentary,Draining the waters around Alcatraz reveals the infamous prison’s deepest secrets.,Disney
Drain The Bermuda Triangle,United States,2014,Documentary,Explore the Bermuda Triangle by draining the water to see what lies beneath the surface.,Disney
Drain The Great Lakes,"United Kingdom, Canada, United States",2011,Documentary,This groundbreaking television program pulls a virtual plug on the huge lakes.,Disney
Drain The Ocean: WWII,United States,2016,"Documentary, Historical",New undersea surveys and 3-D imaging reveal secrets of World War II shipwrecks.,Disney
Drain The Sunken Pirate City,United Kingdom,2017,"Documentary, Historical",Hidden beneath Jamaica’s Kingston Harbour lie the ruins of the biggest pirate city of all time.,Disney
Drain The Titanic,"United Kingdom, Canada, United States",2015,"Documentary, Historical",We reveal the most famous ship wreck site by virtually draining the Titanic.,Disney
Hacksaw,United States,1971,"Animals & Nature, Family, Sports",A wilderness guide sets out to catch a legendary wild horse. See details for advisory.,Disney
Holes,United States,2003,"Coming of Age, Drama, Family",The Yelnats family curse lands young Stanley at Camp Green Lake.,Disney
Marvel 75 Years: From Pulp to Pop!,United States,2014,"Documentary, Family",See how Marvel became the top super hero storyteller in special interviews.,Disney
Marvel Rising: Battle of The Bands,United States,2019,"Action-Adventure, Animation, Superhero",Gwen (Ghost-Spider) has to defeat Screaming Mimi both on the streets and on the stage.,Disney
Super Rhino,United States,2009,"Action-Adventure, Animation, Comedy",Rhino gets an upgrade just in time to save Bolt and Penny from Dr. Calico.,Disney
Forky Asks a Question: What is a Pet?,United States,2019,"Animation, Comedy, Family","Forky meets Rib Tickles, and is schooled on the dangers of law enforcement.",Disney
Star Wars: The Last Jedi (Episode VIII),United States,2017,"Action-Adventure, Science Fiction",New heroes and galactic legends join to unlock mysteries of the Force.,Disney
Forky Asks a Question: What is a Leader?,United States,2019,"Animation, Comedy, Family","Dolly teaches Forky about the qualities of a good leader, and he puts those qualities to the test!",Disney
George of the Jungle 2,"United States, Australia",2003,"Action-Adventure, Comedy, Family","George must rescue his family, then save the jungle from becoming mulch.",Disney
High School Musical: The Musical: The Series: The Special,United States,2019,"Coming of Age, Documentary, Drama",An exclusive look into the making of High School Musical: The Musical: The Series.,Disney
Togo,United States,2019,"Action-Adventure, Animals & Nature, Family",An exhilarating and uplifting adventure set in the winter of 1925 of one man and his lead sled dog.,Disney
Forky Asks a Question: What is a Computer?,United States,2019,"Animation, Comedy, Family",Trixie explains to Forky what a computer does as they experience the common stresses of technology.,Disney
Wind,United States,2019,"Animation, Family, Fantasy","Trapped deep down an endless chasm, a grandmother and boy seek to escape to a better life.",Disney
Forky Asks a Question: What is Love?,United States,2019,"Animation, Comedy, Family",Forky tries to understand the idea of love from some elder toys who think they’ve experienced it.,Disney
Marvel Studios' Thor: Ragnarok,United States,2017,"Action-Adventure, Comedy, Fantasy",Thor races against time to ensure that Asgard does not fall into the Hela's ruthless hands.,Disney
One Day at Disney,United States,2019,"Documentary, Family",Discover the inspiring personal stories of the people behind the enduring magic of Disney.,Disney
Expedition Amelia,United States,2019,"Action-Adventure, Documentary, Historical",Dr. Robert Ballard plans an expedition to solve the mystery of Amelia Earhart’s disappearance.,Disney
Glory Road,United States,2006,"Biographical, Drama, Sports",The story of the first all African-American college basketball team.,Disney
Marvel Rising: Chasing Ghosts,United States,2019,"Action-Adventure, Animation, Superhero",Ghost-Spider teams up with the Secret Warriors.,Disney
Marvel Rising: Heart of Iron,United States,2019,"Action-Adventure, Animation, Coming of Age",Ironheart joins the Secret Warriors to defend Earth.,Disney
Coco,United States,2017,"Animation, Family, Fantasy",Miguel journeys to the magical land of his ancestors.,Disney
Forky Asks a Question: What is Time?,United States,2019,"Animation, Comedy, Family",Rex uses the age of dinosaurs as an example to give Forky an understanding of the concept of time.,Disney
The Wonderful World of Disney Presents The Little Mermaid Live!,United States,2019,"Concert Film, Family, Fantasy",Live musical performances by a star-studded cast are interwoven into the original feature film.,Disney
Forky Asks a Question: What is Art?,United States,2019,"Animation, Comedy, Family",Mr. Pricklepants tells Forky about the complexities of being an actor and the art of performance.,Disney
Forky Asks a Question: What is a Friend?,United States,2019,"Animation, Comedy, Family",Forky shares his thoughts on what makes a good friend based on his limited exposure to the world.,Disney
10 Things I Hate About You,United States,1999,"Comedy, Coming of Age, Romance","Cameron falls for the girl of his dreams, but she is forbidden to date.",Disney
101 Dalmatians,United States,1961,"Action-Adventure, Animation, Family",Cruella De Vil dognaps all of the Dalmatian puppies in London.,Disney
101 Dalmatians II: Patch's London Adventure,United States,2003,"Action-Adventure, Animation",Pongo and Perdita's pup Patch gets the chance to meet his TV hero.,Disney
102 Dalmatians,"United States, United Kingdom",2000,"Action-Adventure, Animals & Nature, Family","Oddball, the spotless Dalmatian puppy, heads out in search of his spots.",Disney
12 Dates of Christmas,United States,2011,"Comedy, Family, Fantasy","Setup on a Christmas Eve date, a woman must relive the date over and over.",Disney
"20,000 Leagues Under the Sea",United States,1954,"Action-Adventure, Family, Science Fiction",Climb aboard the Nautilus and into an undersea world of adventure! See details for advisory.,Disney
A Bug's Life,United States,1998,"Animation, Comedy, Family",Flik goes in search of warriors to help battle the villainous grasshoppers.,Disney
A Goofy Movie,"United States, Australia, France, Canada",1995,"Action-Adventure, Animation, Comedy",Goofy and Max hit the road and get up to their floppy ears in misadventure.,Disney
A Kid in King Arthur's Court,"United States, Hungary, United Kingdom",1995,"Action-Adventure, Comedy, Coming of Age",A mysterious earthquake sends a teenage boy back into medieval times.,Disney
A Knight for a Day,United States,1946,"Animation, Comedy, Family","Goofy jousts for the hand of Penelope, as well as the championship. See details for advisory.",Disney
A Ring of Endless Light,United States,2002,"Coming of Age, Drama, Romance",Teenager Vicky Austin discovers that she can communicate with dolphins.,Disney
Aladdin (1992),United States,1992,"Action-Adventure, Animation, Family","Aladdin, Princess Jasmine and Genie join forces to stop evil Jafar.",Disney
Aladdin and the King of Thieves,United States,1996,"Action-Adventure, Animation, Family",Aladdin and Jasmine plan their wedding…but will the Forty Thieves ruin it?,Disney
Aladdin: The Return of Jafar,United States,1994,"Action-Adventure, Animation, Family",Aladdin and his friends defend Agrabah from Jafar's malice.,Disney
Alice in Wonderland,United States,1951,"Action-Adventure, Animation, Family",Join Alice as she chases the White Rabbit into a topsy-turvy world.,Disney
Aliens of the Deep,United States,2005,"Action-Adventure, Animals & Nature, Documentary",James Cameron teams up with NASA scientists to explore undersea life.,Disney
Alley Cats Strike!,"United States, Canada",2000,"Coming of Age, Drama, Sports",Four outcast teens with a love of bowling are thrust into the spotlight.,Disney
Almost Angels,United States,1962,"Coming of Age, Drama, Family",A working-class youth tries to fit in when with the famed Vienna Boys' Choir.,Disney
America's Heart & Soul,United States,2004,"Documentary, Family",Journey across the U.S. to meet ordinary people living extraordinary lives.,Disney
Amy,United States,1981,"Drama, Family",A young woman takes a job as a teacher in a backwoods school for the deaf.,Disney
An Extremely Goofy Movie,"United States, Australia",2000,"Animation, Comedy, Family",Goofy shows up to finish college alongside his son Max.,Disney
Annie,United States,1999,"Drama, Family, Musical",Annie escapes a “hard-knock life” and finds a bighearted billionaire.,Disney
Apollo: Missions To The Moon,United States,2019,"Documentary, Family, Historical","With rare archival footage, this film sheds new light on an incredible time in human history.",Disney
Atlantis Rising,Canada,2017,"Documentary, Historical",Filmmakers go in search of Atlantis using Plato's writings as a guide to lead the way.,Disney
Atlantis: Milo's Return,United States,2003,"Action-Adventure, Animation, Family",Explorers emerge from below the sea to solve threatening mysteries above.,Disney
Atlantis: The Lost Empire,United States,2001,"Action-Adventure, Animation, Family",Brave explorers venture under the sea seeking legendary Atlantis.,Disney
Auntie Edna,United States,2018,"Animation, Comedy, Family",Has famous fashionista Edna Mode met her match in Jack-Jack?,Disney
Avatar,United States,2009,"Action-Adventure, Science Fiction",A man embarks on an adventure to an exotic world that he learns to call home & fights to protect.,Disney
Babes in the Woods,United States,1932,"Animation, Family, Fantasy",Two children wander the forest and get lured into a witch's house. See details for advisory.,Disney
Babes in Toyland,United States,1961,"Family, Fantasy, Musical",Villainous Barnaby tries to spoil Tom Piper and Mary Contrary's wedding.,Disney
Bambi,United States,1942,"Animation, Drama, Family",Bambi sets off with his best friends to explore the wonders of the woods.,Disney
Bambi II,United States,2006,"Animation, Drama, Kids","Bambi reunites with his father, The Great Prince.",Disney
Bao,"United States, Canada",2018,"Animation, Family, Fantasy",A Chinese mom’s life changes when her dumpling comes alive.,Disney
Beach Picnic,United States,1939,"Animation, Comedy, Family",Donald Duck and Pluto are at the beach. See details for advisory.,Disney
Bearly Asleep,United States,1955,"Animation, Comedy, Family",Donald Duck is a ranger and puts the bears to sleep for the winter. See details for advisory.,Disney
Beauty and the Beast: Belle's Magical World,United States,1998,"Animation, Anthology, Fantasy","In three short stories, see Belle make a gloomy castle fit for a princess.",Disney
Beauty and the Beast: The Enchanted Christmas,"Canada, United States",1997,"Animation, Family, Fantasy",Former composer Forte threatens to keep Belle and Beast apart forever.,Disney
Beezy Bear,United States,1955,"Animation, Comedy, Family",Donald tries to catch the bear that is stealing his honey. See details for advisory.,Disney
Before the Flood,United States,2016,Documentary,Leonardo DiCaprio searches for answers on the issue of climate change.,Disney
Benji the Hunted,United States,1987,"Action-Adventure, Animals & Nature, Family",Benji must navigate the wilderness while caring for orphaned cougar cubs.,Disney
Big Hero 6,United States,2014,"Action-Adventure, Animation, Family",A boy genius and his robot team up to save their city.,Disney
Bizarre Dinosaurs,United States,2009,"Animals & Nature, Documentary, Family","Which dinosaurs were the strangest of the strange, and how did they get that way?",Disney
Blank Check,United States,1994,"Comedy, Family","An 11-year-old cashes a blank check for a million bucks, with wild results.",Disney
Boat Builders,United States,1938,"Animation, Comedy, Family",Mickey and friends build a boat but it falls apart when christened. See details for advisory.,Disney
Bolt,United States,2008,"Action-Adventure, Animation, Comedy",Hollywood's smallest star embarks on a paws-itively awesome adventure!,Disney
Bone Bandit,United States,1948,"Animation, Comedy, Family",Pluto's efforts to dig up a bone are frustrated by his allergy. See details for advisory.,Disney
Boundin',United States,2004,"Animation, Family, Kids",The musical story of a dancing sheep.,Disney
Brave,"United States, United Kingdom",2012,"Animation, Coming of Age, Family",Princess Merida must undo a beastly curse before it’s too late.,Disney
Brave Little Toaster to the Rescue,United States,1999,"Action-Adventure, Animation",The gang tries to save their animal pals from being sent to a testing lab.,Disney
Breaking2,United States,2017,"Documentary, Sports",Three of the world’s most elite distance runners set out to break the 2-hour marathon barrier.,Disney
Brink!,United States,1998,"Coming of Age, Drama, Sports",An in-line skater quits his crew to join a corporate-sponsored team.,Disney
Brother Bear,United States,2003,"Action-Adventure, Animation, Family",A boy transformed into a bear makes an epic journey to become human again.,Disney
Brother Bear 2,United States,2006,"Action-Adventure, Animation, Family",Bear Kenai is haunted by dreams of his previous life as a human child.,Disney
Buffalo Dreams,United States,2005,"Buddy, Coming of Age, Drama",Two teenagers are sent on a vision quest by a Navajo elder.,Disney
BURN-E,United States,2008,"Animation, Comedy, Family",BURN-E the welding bot is locked out of the star liner.,Disney
Cadet Kelly,"United States, Canada",2002,"Comedy, Coming of Age",An artsy teen goes from fab to drab after enrolling in a military academy.,Disney
Camp Nowhere,United States,1994,"Comedy, Coming of Age, Family",An actor and some teenagers create the summer camp of their dreams.,Disney
Camp Rock,United States,2008,"Coming of Age, Music, Musical",Mitchie gets the chance to spend a summer at a prestigious music camp.,Disney
Camp Rock 2: The Final Jam,United States,2010,"Coming of Age, Music, Musical","To save Camp Rock, Mitchie challenges Camp Star to a final jam.",Disney
Can of Worms,"United States, Canada",1999,"Comedy, Coming of Age, Science Fiction",Aliens invade when a teen asks for intergalactic help to escape Earth.,Disney
Candleshoe,"United Kingdom, United States",1978,"Comedy, Coming of Age, Crime",A tomboy cons a nobleman to find a treasure trove of Spanish doubloons.,Disney
Canine Caddy,United States,1941,"Animation, Comedy, Family",Pluto caddies for Mickey on the golf course. See details for advisory.,Disney
Cars,United States,2006,"Animation, Comedy, Family",Race car Lightning McQueen gets stranded in a small town on Route 66.,Disney
Cars 2,United States,2011,"Animation, Comedy, Family",Lightning McQueen and Mater go overseas to compete in the World Grand Prix.,Disney
Cars 3,United States,2017,"Animation, Comedy, Family",Lightning McQueen must face a new generation of racers.,Disney
Cars Toon: Air Mater,United States,2011,"Animation, Comedy, Family",Mater’s decision to fly lands him at a big airshow.,Disney
Cars Toon: Heavy Metal Mater,United States,2010,"Animation, Comedy, Family",Mater is a rock star in a heavy metal band.,Disney
Cars Toon: Hiccups,United States,2013,"Animation, Comedy, Family",Lighting McQueen gets the hiccups.,Disney
