title,country,release_year,genre,description,Streaming Service
Beverly Hills Chihuahua 3: Viva La Fiesta!,United States,2012,"Comedy, Coming of Age, Family","Papi plans a ""Quince"" for the littlest member of his pack.",Disney
Mrs. Doubtfire,United States,1993,"Comedy, Drama",An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.,Disney
Garfield,United States,2004,"Comedy, Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him.",Disney
Ice Age: The Meltdown,"United States, United Kingdom, Australia",2006,"Animation, Comedy, Family","Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood.",Disney
We Bought a Zoo,United States,2011,"Animals & Nature, Drama, Family",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.,Disney
Flicka,"United States, United Kingdom",2006,"Animals & Nature, Coming of Age, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.,Disney
Shark Beach with Chris Hemsworth,United States,2021,"Animals & Nature, Documentary",Chris Hemsworth investigates how we can live harmoniously with sharks.,Disney
The Sandlot,United States,1993,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.,Disney
The Sandlot 2,United States,2005,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge.",Disney
Adventures in Babysitting,United States,1987,"Action-Adventure, Comedy, Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.,Disney
Luca,United States,2021,"Animation, Buddy, Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera.",Disney
Strange Magic,"United States, Canada, United Kingdom, Singapore, Australia, Thailand",2015,"Action-Adventure, Animation, Family",A tough fairy princess crosses paths with the sinister Bog King.,Disney
The Happiest Millionaire,United States,1967,"Biographical, Coming of Age, Family",An immigrant finds a butler position in the home of a millionaire.,Disney
The Pacifier,"Canada, United States",2005,"Action-Adventure, Comedy, Spy/Espionage",A Navy SEAL gets his toughest mission yet: Babysitting.,Disney
Raya and the Last Dragon,United States,2021,"Action-Adventure, Animation, Family","When evil threatens Kumandra, Raya must find the last dragon to save it.",Disney
Red Tails,United States,2012,"Action-Adventure, Drama, Historical",Black fighter pilots get the chance to prove themselves during WWII.,Disney
Tinker Bell and the Legend of the NeverBeast,United States,2014,"Action-Adventure, Animation, Fantasy",Tink and her friends risk everything to rescue the mysterious NeverBeast.,Disney
X-Men: The Last Stand,"United States, United Kingdom, Canada",2006,"Action-Adventure, Family, Science Fiction","When Professor X clashes with Magneto, the battle lines are drawn for the war to end all wars.",Disney
Fantastic Four: Rise of the Silver Surfer,"United States, Germany, United Kingdom",2007,"Action-Adventure, Family, Science Fiction","The Fantastic Four meet The Silver Surfer, who comes to Earth to prepare it for destruction.",Disney
Wild Hearts Can't Be Broken,United States,1991,"Biographical, Drama","A runaway is determined to become a death-defying horse ""diving girl.""",Disney
Oklahoma!,United States,1956,"Musical, Romance, Western",Two young cowboys vie with a ranch hand and peddler for the hearts of the women they love.,Disney
Baby's Day Out,United States,1994,"Action-Adventure, Comedy, Crime",Three bumbling kidnappers attempt to nab the baby of a rich couple.,Disney
Being the Queen,United States,2020,"Biographical, Documentary",Being the Queen tells the story of Queen Elizabeth II from those who know her best.,Disney
Rio,"United States, Brazil",2011,"Action-Adventure, Animation, Comedy","Blu, a rare macaw leaves his home in small town Minnesota and heads to Rio to help save his species.",Disney
The Kid Who Would Be King,"United Kingdom, United States",2019,"Action-Adventure, Coming of Age, Family","When a kid discovers the legendary sword, Excalibur, he and his friends join Merlin to fight evil!",Disney
Treasure Buddies,"United States, Canada",2012,"Action-Adventure, Comedy, Kids",Travel across the globe on a treasure hunt with the adorable thrill-seeking Buddies.,Disney
White Fang 2: Myth of the White Wolf,United States,1994,"Action-Adventure, Animals & Nature, Drama",A dog-wolf stops miners from destroying a sacred land.,Disney
Cesar Millan: The Real Story,United States,2012,"Biographical, Documentary",Follow Cesar Millan's incredible rise from impoverished illegal immigrant to celebrity dog trainer.,Disney
Man of the House,United States,1995,"Comedy, Coming of Age, Crime",A man joins the YMCA to impress the son of the woman of his dreams.,Disney
Mark Twain and Me,"Canada, United States",1991,"Biographical, Coming of Age, Drama","A shy 11 -year- old is thrilled to meet Mark Twain, the man she most admires in all the world.",Disney
Squanto: A Warrior's Tale,"United States, Canada",1994,"Action-Adventure, Biographical, Drama",A vivid true story of one man's unquenchable thirst for independence.,Disney
Ewoks: The Battle for Endor,United States,1985,"Action-Adventure, Fantasy, Science Fiction",The adventures of the Ewoks continue as Wicket and friends confront the evil Marauders.,Disney
Island at the Top of the World,United States,1974,"Action-Adventure, Fantasy, Survival",A man commissions an airship and crew to search for his missing son.,Disney
Night at the Museum,"United States, United Kingdom",2006,"Action-Adventure, Comedy, Family",A new guard at the Natural History Museum finds that when visitors leave the exhibits come to life.,Disney
The Big Year,"United States, Canada",2011,"Animals & Nature, Comedy",Three men pursue the Birder of the Year title across the continent.,Disney
The Last Ice,United States,2020,"Animals & Nature, Documentary","As climate change melts the Arctic ice, the indigenous people fight to protect the land.",Disney
Third Man on the Mountain,"United States, United Kingdom",1959,"Action-Adventure, Coming of Age, Family","A boy attempts the impossible - climbing the ""Citadel.""",Disney
Gnomeo & Juliet,"United Kingdom, United States, Canada, Ireland",2011,"Action-Adventure, Animation, Family",Two garden gnomes remain star-crossed lovers during a feud among neighbors.,Disney
Miss Peregrine's Home for Peculiar Children,"United States, United Kingdom, Belgium, Canada",2016,"Coming of Age, Fantasy",A wildly imaginative fantasy-adventure about a secret world for children with unusual powers.,Disney
Garfield: A Tail of Two Kitties,"United Kingdom, United States",2006,"Comedy, Family, Kids",Garfield is adopted by a greedy Lord with nefarious plans to open up his estate as a hunting ground.,Disney
Myth: A Frozen Tale,United States,2021,"Animation, Family, Fantasy",A family sits down for a bedtime story and is transported to a forest filled with elemental spirits.,Disney
Okavango: River of Dreams,"Austria, South Africa",2020,"Animals & Nature, Documentary",The story of the Okavango River through the wildlife who dwell amongst its waters.,Disney
Cheaper By the Dozen,United States,2003,"Comedy, Family",Tom and Kate Baker discover that managing twelve children and big careers are a difficult mix.,Disney
Cheaper by the Dozen 2,"United States, Canada",2005,"Comedy, Family",The Bakers go toe-to-toe against the Murtaughs in the ultimate inter-family battle.,Disney
Flora & Ulysses,United States,2021,"Comedy, Coming of Age, Drama",Comic book fan Flora saves a squirrel whose superhero powers bring hope and wonder to her family.,Disney
You Again,United States,2010,Comedy,An unlikely reunion causes high school drama to resurface between a nice girl and her arch nemesis.,Disney
Disney My Music Story: Yoshiki,"United States, Japan",2019,"Biographical, Documentary, Music",Yoshiki from “X Japan” performs two Disney songs and talks about his music.,Disney
Expedition Everest,United States,2020,"Animals & Nature, Documentary",Scientists and Sherpas team up on Mount Everest to install the highest weather station in the world.,Disney
Upside-Down Magic,"United States, Canada",2020,"Coming of Age, Fantasy",Nory enters the Sage Academy for Magical Studies!,Disney
Isle of Dogs,"United States, Germany, United Kingdom",2018,"Action-Adventure, Animation, Comedy","Set in Japan, ISLE OF DOGS follows a boy's odyssey in search of his dog.",Disney
Mary Poppins Returns,"United States, United Kingdom",2018,"Family, Fantasy, Musical",Mary Poppins is back to help the Banks family in this reimagined classic.,Disney
Ferdinand,"United States, Spain",2017,"Action-Adventure, Animation, Comedy","Ferdinand, a peace-loving bull, rallies a misfit team of friends on the ultimate adventure home.",Disney
Toy Story: That Time Forgot,United States,2014,"Action-Adventure, Animation, Comedy",The Toy Story crew meet a delusional set of action figures.,Disney
700 Sharks,France,2018,"Animals & Nature, Documentary",Follow an international team of scientists in Polynesia as they study a school of 700 sharks.,Disney
Dr. Seuss' Horton Hears a Who!,United States,2008,"Animation, Comedy, Family",Horton must save a civilization living on a speck of dust from those who don't believe they exist.,Disney
Mega Hammerhead,United States,2016,"Animals & Nature, Documentary",Dr. Neil Hammerschlag and his team are setting off on a quest to learn more the Great Hammerhead.,Disney
Burrow,United States,2020,"Animation, Family",A rabbit attempts to dig a burrow and learns there’s no shame in asking for help.,Disney
Max Keeble's Big Move,United States,2001,"Comedy, Family","After a week of creating mayhem, Max has to face the consequences.",Disney
Soul,United States,2020,"Animation, Comedy, Family","Jamie Foxx stars in Pixar’s ""Soul,"" a comedy about what makes you... YOU.",Disney
Arendelle Castle Yule Log,United States,2020,"Animation, Family",Set the wintry mood for your holiday celebration with Anna and Elsa’s Arendelle Castle yule log.,Disney
