title,country,release_year,genre,description,Streaming Service
Tropic Thunder,"United States, United Kingdom, Germany",2008,"Action, Comedy","Ben Stiller, Jack Black and Robert Downey Jr. lead an ensemble cast in 'Tropic Thunder,' an action comedy about a group of self-absorbed actors who set out to make the most expensive war film.",Amazon
Triple Seat (4K UHD),India,2019,"Comedy, International","A young, happy couple`s life gets turned upside down when the guy receives a call from an unknown woman who claims to be in danger. A new take on the classic love triangle, Triple Seat brings to you a light-hearted story about wireless love.",Amazon
Transit,United States,2012,"Action, Drama, Suspense",The camping trip was meant to reunite the Sidwell family...it's not. When they are hunted and terrorized by violent bank robbers their very survival will depend on working together.,Amazon
Touch Chesi Chudu,India,2018,"Drama, International, Romance","Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?",Amazon
Tortilla Soup,United States,2002,"Comedy, Drama, Romance",A Mexican-American master chef and father to three daughters has lost his taste for food but not for life.,Amazon
To Catch a Thief,United States,1955,"Drama, Suspense",Stars Cary Grant as a former thief suspected of a new series of crimes and Grace Kelly as the woman who romances him.,Amazon
Tiger Zinda Hai,India,2017,"Action, Drama, International","When a group of Indian and Pakistani nurses are held hostage in Iraq by the militant Abu Usman, Indian intelligence (RAW) tracks down the reclusive agent Tiger 8 years after he fled with former Pakistani intelligence (ISI) agent Zoya. Joining forces in the name of humanity, Tiger and Zoya lead a team of RAW and ISI agents to covertly enter the hospital where the nurses are trapped.",Amazon
Ticker,United States,2001,"Action, Adventure, Suspense","When a mad bomber (Dennis Hopper) descends on San Francisco, it's up to two men to uncover his plot and find the massive bomb hidden somewhere in the city.",Amazon
Three Wishes,United States,1995,"Adventure, Fantasy","In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.",Amazon
Think Like a Dog (4K UHD),"China, United States, United Kingdom",2020,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy.",Amazon
Think Like a Dog,"China, United States, United Kingdom",2020,"Comedy, Kids","After a 12-year-old tech prodigy's science experiment goes awry, he forges a telepathic connection with his best friend and dog, Henry, in this whimsical family comedy.",Amazon
The Zookeeper,"Denmark, United Kingdom, Czech Republic, Netherlands",2001,Drama,"In the midst of a devastating civil war in an Eastern European country, a disillusioned ex-Communist is left behind to take care of the animals in the capital's zoological gardens until a U.N. rescue force arrives.",Amazon
The Zombie King,United Kingdom,2013,"Comedy, Horror","After heartbroken widower Samuel makes a deal with Kalfu, the god of Malevolence. This allows Samuel to live with his dead wife as a zombie, and leads to the destruction of the underworld.",Amazon
The Wild Horse Redemption,Canada,2007,"Documentary, Special Interest","At a prison in the high desert foothills of the Colorado Rocky Mountains, hardened criminals are taught the training methods of ""horse whisperers"" and given 90 days to tame wild mustangs taken from the herd that roams government lands. Failure means one more defeat for the inmate; success could save both lives.",Amazon
The Wereth Eleven,United States,2011,"Documentary, Military and War","During World War II, 1.2 million African-Americans served in America's Armed Forces. Fully 125,000 served overseas. 708 were killed. Among these were The Wereth Eleven. Their story was lost to history. Until now.",Amazon
The Wedding Year,United States,2019,Comedy,A commitment-phobic 27-year old's relationship is put to the test when she and her boyfriend attend 7 weddings in the same year.,Amazon
The Vast of Night,United States,2020,"Drama, Science Fiction, Suspense","In the twilight of the 1950s, on one fateful night in New Mexico, a young switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever.",Amazon
The Secret of Roan Inish,"United States, Ireland",1995,Drama,Young Fiona lives with her grandparents in a small fishing village where she takes an active role to unravel the mysterious secrets.,Amazon
The Parallax View,United States,1974,Drama,"Warren Beatty is a news reporter who, along with seven others, witnesses the assassination of a political candidate.",Amazon
The Nutty Professor (1963),United States,1963,"Comedy, Science Fiction","Jerry Lewis plays a timid, nearsighted chemistry teacher who discovers a magical potion that can transform him into a suave and handsome Romeo. The Jekyll and Hyde game works well enough until the concoction starts to wear off at the most embarrassing times.",Amazon
The Monster Squad,United States,1987,"Action, Comedy, Horror","Dracula, the Wolf Man, the Gill-Man, the Mummy, and the Frankenstein Monster are in hot pursuit of a mysterious amulet that will allow their return and only the movie-loving kids in the neighborhood Monster Club can stop them!",Amazon
The Legend of Swee' Pea,United States,2020,"Documentary, Sports","A ""mystical understanding of the game"" made Lloyd ""Swee' Pea"" Daniels a New York City basketball legend by the age of 16. Christened the ""next Magic Johnson"", his career effectively ended at age 21 after being shot 3 times in the chest after a tussle over $8 of cocaine. The Legend of Swee' Pea follows the twists and turns of fortune in the life of a basketball prodigy.",Amazon
The Last Sharknado: It's About Time,United States,2018,"Action, Science Fiction","Determined to bring his family back to life, Gil sends his father Fin back in time to stop the Sharknados from starting. Along the way, he fights dinosaurs, knights, cowboys, and a robot version of his wife. This time - it's not how to stop the Sharknados, but when.",Amazon
The Last Black Man in San Francisco (4K UHD),United States,2019,"Arthouse, Arts, Entertainment, and Culture, Drama","Jimmie and his best friend Mont try to reclaim the home built by his grandfather, launching them on a poignant odyssey to find a place to call home.",Amazon
The Immortalists,"United Kingdom, United States, India",2014,"Documentary, Special Interest","What would the world look like if humans never grew old? Two eccentric biologists are determined to find out. In this larger-than-life doc, Bill Andrews and Aubrey de Grey leave behind the journals and peer reviews of the scientific establishment to embark on a quest for the age-old secret of eternal youth.",Amazon
The Hungry,"United Kingdom, India",2017,"Drama, International","THE HUNGRY follows Tulsi Joshi, a widow and bride to be who comes to her own wedding seeking revenge for the brutal murder of her first born son. Based on Shakespeare’s Titus Andronicus, THE HUNGRY is about the violence that exists between power and love - a macabre fairytale set in the elite circles of north India.",Amazon
The Hollow Child,Canada,2018,Horror,"Highly intelligent and malicious creatures known as The Hollow Ones live in the woods and entice children with their hypnotic folklore music. Samantha, a young foster teen, must fight to expose these dangerous supernatural impostors to save her younger sister who has been taken, otherwise her soul will be lost forever.",Amazon
The Flaw,United Kingdom,2011,Special Interest,"The definitive doc on the 2008 financial crash - The Flaw goes beyond easy explanations of greedy bankers and incompetent regulators its investigation goes to the root causes of the USA's and UK's deluded belief that everyone could be rich and property prices would rise forever, and asks the question: why are the perpetrators of the mess now entrusted with the lucrative task of clearing it up?",Amazon
The Farewell (4K UHD),"United States, China",2019,"Arthouse, Arts, Entertainment, and Culture, Comedy","In this funny, heartfelt story, Billi’s (Awkwafina) family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch – the only person that doesn’t know she only has a few weeks to live.",Amazon
The Court Jester,United States,1956,"Action, Comedy","Danny Kaye plays kind-hearted entertainer Hawkins who disguises himself as the legendary king of jesters, Giacomo. Hawkins infiltrates the court of the evil villain Basil Rathbone, but when a sorceress hypnotises him, royal chaos ensues.",Amazon
The Bridgewater Triangle,United States,2013,Special Interest,"""The Bridgewater Triangle"" hosts an unusually high volume of reports involving strange happenings, baffling mysteries and sinister deeds. From ghostly hauntings and cryptid animal sightings, to UFO encounters and evidence of satanic ritual sacrifice, this 200-square mile region in Southeastern Massachusetts serves as one of the world's most diverse and well-known hotspots for paranormal activity",Amazon
The Asian Connection,"United States, Thailand",2016,"Action, Suspense","Two American expatriates, Jack and Sam, unwittingly steal a drug lord's money when they rob a series of banks in Southeast Asia and become the target of the gang's vengeance. When Sam is killed, Jack turns to the love of his life, Pom, and the couple becomes a modern-day Bonnie and Clyde that takes the fight to the gang.",Amazon
Super Size Me 2: Holy Chicken!,United States,2019,"Comedy, Documentary, Special Interest",Muckraking filmmaker Morgan Spurlock reignites his battle with the food industry - this time with Big Chicken - as he opens his own fast food restaurant.,Amazon
Super Size Me,United States,2004,Special Interest,"Winner at Sundance, director Morgan Spurlock's social experiment in fast-food gastronomy sees him attempting to subsist uniquely on food from the McDonald's menu for an entire month. In the process his weight balloons, his energy level plummets and he experiences all sorts of unexpected – and terrifying – side effects.",Amazon
Sunshine Hotel,United States,2002,"Documentary, Special Interest","[Remastered 2017] As seen on Sundance Channel. A journey into the last ""flophouse"" on New York City's infamous skidrow, The Bowery. Filmmaker Michael Dominic takes his camera behind the doors of the Sunshine Hotel, one of the few remaining affordable refuges for the destitute and out of luck, a world that has seemingly stood still for more than eight decades.",Amazon
Student of the Year 2,India,2019,"Drama, International","Rohan (Tiger Shroff) is a student, athlete from a mediocre Pishorilal Chamandas College. He dreams of becoming the Student of the Year one day. His life takes a turn, when he gets accepted to St. Teresa College, encounters his rival Manav & has the beautiful Shreya and Mia who begin to fall for him. Their life gets tangled through competition, failure, manipulation and heartbreaks.",Amazon
Stick Man,United Kingdom,2015,"Adventure, Animation, Kids","A half-hour animation based on the much-loved children's picture book by Julia Donaldson and Axel Scheffler. Stick Man tells the tale of a happy-go-lucky father's epic adventure across the seasons as he runs from a playful dog, gets thrown in a river, escapes from a swan's nest and even ends up on top of a fire. Will he get back to his family in time for Christmas?",Amazon
Stagecoach - The Original John Wayne Classic,United States,1939,"Adventure, Drama, Western","A stagecoach sets off across the untamed wilderness carrying a mixed assortment of characters whose journey is complicated by an Apache raiding party. Directed by John Ford, the original 1939 Stagecoach has long been recognized as one of the most influential films ever made & transcends the Western genre. Winner of 2 Academy Awards & 5 Nominations, it features John Wayne in his breakthrough role!",Amazon
Sonu Ke Titu Ki Sweety,India,2018,"Comedy, International","Sonu and Titu are childhood friends. Titu has always been a naive lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true.",Amazon
Song One,United States,2015,"Arthouse, Arts, Entertainment, and Culture, Drama","Oscar winner Anne Hathaway stars as Franny in this romance set in Brooklyn's indie music scene. After her brother is in an accident, Franny returns home only to fall in love with her brother's musical idol.",Amazon
Soapdish,United States,1991,Comedy,"The cast and crew of The Sun Also Sets, America's hottest soap opera have on-screen drama and off-screen craziness with enough dirty laundry to keep everyone in hot water in this unadulterated comedy.",Amazon
Smile Please,India,2019,"Drama, International","Nandini Joshi, once an extremely successful photographer, has fallen prey to dementia. Her already unstable relationship with her daughter Nupur, who stays with Nandini’s ex-husband Shishir, has deteriorated over the years. When Viraj, a young graphic designer arrives on the scene, he is determined to mend the situation and help Nandini rediscover a sense of meaning in her life.",Amazon
Sleepwalker,United States,2017,"Drama, Suspense","Troubled by bouts of sleepwalking and nightmares, graduate student Sarah Foster goes to her university's sleep research center for help. When she wakes up after her first night of being monitored, the world she lives in seems to have changed in subtle, Twilight-Zone-esque ways. With the help of sleep researcher Scott White, she tries to work her way back to the reality she started in.",Amazon
Sketchy Behaviour,India,2019,"Arts, Entertainment, and Culture","Sketchy Behaviour is an absurd sketch comedy show filmed live in Mumbai. Described as hilarious, complex, stupid, irritating(and ‘sardonic’ by one lady in Goa) the show is familiar, bizarre and hysterically funny. Featuring six very silly live sketches, stitched together by a much sillier story and bookended by an extremely silly opening and closing, Sketchy Behaviour is truly a work of something.",Amazon
Sita,India,2019,"Drama, International","Sita is a materialistic woman who only cares about materialistic gains and nothing else. MLA Basava Raju lusts for her and wants her to give him what she promised him for helping her. The villain of their tale is Ram, a man who’s way too innocent for his own good. How does Ram help Sita out of the fix she’s in forms the crux of the story.",Amazon
Sharknado 4: The 4th Awakens,United States,2016,"Action, Horror, Science Fiction","Five years after the wave of sharknados that wracked the east coast, our heroes are living a quiet life in the middle of the country – as far away from sharks as possible. But when a freak sand sharknado hits Vegas, Fin is thrown back into action, fighting sharknados on a cross-country race to save his family and the world – as all mankind should know by now, there is no escaping...",Amazon
Shakuntala Devi,India,2020,Drama,"The extraordinary story of Shakuntala Devi, the world-renowned mathematician who lived her life on her own terms. While the film pays tribute to her genius as a mathematician, it also humanizes her as a woman and mother, in trying to capture her indomitable spirit. Told through the lens of her relationship with her daughter Anu, the film highlights their very different struggles and aspirations.",Amazon
Shadow Company,Canada,2007,Documentary,"Twenty thousand private soldiers operate in Iraq. Who are these people? What do they do and why do they do it? This documentary is a groundbreaking investigation into the secretive world of modern mercenaries. It follows one British contractor on his tour of duty, contrasting his experiences in Iraq with previous operations. This is the definitive film on the changing face of modern war.",Amazon
Shaadi Mubarak,India,2021,"Comedy, Drama","Madhav, an introverted software employee who gets compelled to meet 3 brides of alliances arranged by a marriage bureau run by Jayamma. Bhanumati, daughter of Jayamma, a happy, go-lucky girl had to accompany Madhav in meeting his set alliances. In the journey, they find love in each other, yet, they don't express it. The story takes new turns with each alliance they meet.",Amazon
Selah and the Spades,United States,2020,Young Adult Audience,"Five factions run the underground life of the prestigious Haldwell boarding school. At the head of the most powerful faction – THE SPADES – sits Selah Summers. Both charming and callous, Selah walks the fine line between being feared and loved, often cutting loose whomever she deems a threat to her power.",Amazon
Savyasachi,India,2018,"Action, Adventure, International",Savyasachi (meaning Ambidextrous) is based on a twin brother who is absorbed by Naga's character in the womb and controls his left hand. Unscientifically called the Vanishing Twin Syndrome.,Amazon
Same Kind of Different as Me,United States,2017,Drama,"From The NY Times bestseller comes an inspirational true story about two men from drastically different backgrounds, who develop a surprising bond that will lead them on the most remarkable journey of their lives and forge an everlasting friendship.",Amazon
Sakka Podu Podu Raja,India,2017,"Comedy, Drama, International",A happy-go-lucky-guy falls in love with the sister of a ruthless gangster. How does the former convince his lover's brother is the rest of the movie.,Amazon
Rustum,India,2019,"Action, International","The story revolves around a super cop who is sincere, brave and deadly. He is on a mission to end nexus of the organ trading mafia across the country and to take revenge for the brutal murder of his close friend.",Amazon
Rangasthalam,India,2018,"Drama, International, Suspense",The story is set in a village called Rangasthalam. Chitti Babu (Ram Charan) happy-go-lucky man who has a hearing disability and he doesn’t let his disability deter him. His brother Kumar Babu (Aadhi Pinisetty) returns from Dubai only to see that nothing in the village has changed. What happens when he decides to go up against the dreaded President garu (Jagapathi Babu) forms the rest of the story.,Amazon
Raazi,India,2018,"Drama, International, Suspense","Set in 1971, when the winds of war were blowing between India and Pakistan, Raazi – an adaptation of Harinder Sikka’s novel “Calling Sehmat” – is a true-life story involving a 20 year old Kashmiri girl.",Amazon
Professor Shanku O El Dorado,"Brazil, United States, India",2020,"Action, Adventure, Science Fiction","A world of myths, superpowers, and science - and Prof Shanku! Catch India's first science-fiction, with some ""Ray"" magic.",Amazon
Problems,India,2018,"Arts, Entertainment, and Culture","Azeem Banatwalla's second stand-up special is a wickedly dark show that taps into the inner, evil voice in the back of all our heads, and uses it to solve the biggest problems plaguing the country - stupidity, moral policing, racism, indoctrination, overpopulation, Kashmir, the government, and of course, Pigeons. There's also a joke about Salman, if that's what you're into. Nobody's judging you.",Amazon
Powder Blue,United States,2009,"Drama, Suspense","On the gritty streets of LA, the destinies of four people desperate for connection and redemption are about to collide. Jessica Biel, Ray Liotta, Forest Whitaker and Eddie Redmayne lead a top-notch cast in this powerful thriller about an overwhelmed erotic dancer, a grieving husband who has lost his will to live, a terminally ill ex-con and a pathologically shy mortician.",Amazon
Pink Heat,United States,2017,"Action, Suspense","For her birthday this year, Elizabeth has been given two pink pistols and a reason to use them when a gang of vicious criminals murders her grandfather in cold blood. Packing her trusted pink heat, Elizabeth sets out to avenge her family, leaving a trail of bullet-riddled bodies in her wake.",Amazon
Petromax,India,2019,"Horror, International","When an ancestral house comes up for sale, rumor crops up that it's haunted. Unwilling to settle for a distressed sale, an arrangement is made for four members to stay at the house and prove that there are no ghosts inside.",Amazon
Pass Over,United States,2018,Drama,"Academy Award nominee and Honorary Oscar winning Spike Lee captures the poetry, humor and humanity of this urgent and timely play about two young black men talking shit, passing the time, and dreaming of the promised land. A provocative riff on Waiting for Godot, PASS OVER by newcomer Antoinette Nwandu.",Amazon
Pari,India,2018,"Horror, International","Pari is a supernatural horror film in which a man attempts to help a woman named Ruksana, an abuse victim, who he found chained up in a hut.",Amazon
Pagalpanti,India,2019,"Action, Comedy","3 men, considered as losers in their lives by the people, plan to get rich along with their girlfriends by fooling 2 gangsters and robbing their money.",Amazon
Padmaavat,India,2018,"Drama, Historical, International","Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji.",Amazon
Odeya (4K UHD),India,2019,"Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",Amazon
Odeya,India,2019,"Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",Amazon
Notebook,India,2019,"Drama, International, Romance","Kabir comes to Kashmir to be a school teacher. The school is situated in the middle of the remote Wuller lake, lacking basic amenities and attended by just a handful of students. At the school Kabir finds a notebook left behind by the previous year's teacher Firdaus and that changes his entire life. Happy and heart-warming Notebook is about two people finding love in the most unexpected way.",Amazon
No Place to Hide: The Rehtaeh Parsons Story,Canada,2015,"Documentary, Special Interest","Rehtaeh Parsons, a 15 year old student from Nova Scotia, was raped by four schoolboys while drunk at a sleepover. A photo of her rape soon began circulating online. Through the eyes of her parents, this film re-examines these alarming events, which ultimately led to Rehtaeh's suicide. A shocking testament to police indifference, the stigma of sexual assault and the effects of cyber bullying.",Amazon
Night of the Running Man,United States,1995,"Action, Adventure, Suspense","When a cabbie in Las Vegas discovers a million dollars in his taxi and skips town, the mob sends a ruthless hit man to track him down.",Amazon
Night Falls on Manhattan,United States,1997,Drama,A newly elected District attorney finds himself in the middle of a police corruption investigation that may involve his father and his partner.,Amazon
NGK,India,2019,Drama,"Suriya plays the title role Nandha Gopalan Kumaran, who has completed M.Tech, Ph.D doing organic farming for his living and do social work without any returns, leaving the corporate job, living a happy life with his parents and wife Sai Pallavi. At one point of time, opposition party's Bala Singh induces the idea of joining him in politics and circumstances led him to join the party too.",Amazon
Neeti Palta - Almost Sanskari,India,2019,Comedy,"Come and laugh at the complicated inner workings of a comedian's mind as she shares a very personal journey from childhood to never growing up. From her not-strictly-traditional upbringing by her mom and army dad to buying condoms for her older brother, arranged marriages to society's expectations from her that she gleefully fails to meet.",Amazon
Nawabzaade,India,2018,"Comedy, International","Three best friends fall in love with the same girl and fight among themselves to win her affections. But, they soon realize that their beloved is much more than her exterior of a simple girl.",Amazon
My Name is Salt,"Switzerland, India",2013,"Arts, Entertainment, and Culture, Documentary, Special Interest","Year after year, just after the monsoon season has finished, thousands of families travel to a bleak desert in Gujerat, India, where they will stay for an endless eight months and extract salt from the earth, using the same painstaking, manual techniques as generations before them. Director Farida Pacha spent a season with one of these families, observing the very particular rhythms of their lives",Amazon
Mumbai Pune Mumbai 3,India,2018,"Comedy, Drama, International",They fell in love in the first part got married in the second and now its time to extend this most loved family. Gautam and Gauri are expectant parents and the film unfolds this journey of today's couple who will walk this path towards parenthood.,Amazon
Muklawa,India,2019,"Comedy, Drama, International",Muklawa takes us back to the times when it was a common tradition for the girl to stay back at her parent's house from a few months to up to a year after her wedding.,Amazon
Mr. Imperium,United States,1951,Drama,"Mr. Imperium (Pinza), a royal bachelor prince, takes a vacation in Italy, where he meets and falls in love with nightclub singer Fredda Barlo (Turner). Circumstances force them to part at the end of the trip, but the two meet again ten years later, after Mr. Imperium has become king and Fredda has become a major Hollywood movie star. Passion rekindles again in the two, as they renew their romance.",Amazon
Mr. Family Man,India,2020,"Arts, Entertainment, and Culture, Comedy","Being a SuperMan may be easy. Being a SpiderMan may be simple. But being a FamilyMan is the most difficult thing ever! Solving a problem without any repercussions, taking responsibilities without any pressure and growing a tummy without any worry a Family Man is what the world needs now. Come let's dive into the world of one such Family Man, Praveen Kumar.",Amazon
Monster,India,2019,"Comedy, Drama",A compassionate man who believes that earth is for every living creature gets troubled by a rat and tries to kill it. Did he kill it or let it go free is the crux of the story.,Amazon
Missing,India,2018,"International, Suspense","Set on the theme 'nothing is what it seems', Missing is a thrilling tale about a couple, Mr. & Mrs. Dubey (essayed by Manoj and Tabu), and their 3-year-old daughter, Titli, who has gone missing at a beach resort in Mauritius. As the police get involved in the search, the suspense only increases with different people, different viewpoints and different versions about the missing child.",Amazon
Middle Class Melodies,India,2020,"Comedy, Drama","A comedy drama depicting the congenial lives of the middle class in a village and the ambitions of a young man who moves to a nearby city to pursue his dream of owning a hotel. The story surrounds middle class families, their dreams, beliefs, struggles and hope presented in a light hearted dramedy.",Amazon
MCA (Middle Class Abbayi),India,2017,"Drama, International",Nani(Nani) a middle-class guy who stays with his sister in law(Bhumika). He leads a happy go lucky life with his girlfriend(Sai Pallavi) but things change all of a sudden when Bhumika who is a government servant lands into problems with a dreaded criminal(Naresh Vijay) in Warangal. Rest of the story is as to how a simple guy like Nani confronts the dreaded gangster and saves his sister in law.,Amazon
Maximum Ride,United States,2016,"Action, Science Fiction","Maximum Ride is the extraordinary journey of six DNA-enhanced young orphans with the ability to fly - on a mission to rescue the youngest of their flock while discovering, scientific diabolical secrets of how they came to exist.",Amazon
